Yasir Arafat (Pak),2007-2012,13,13,39.2,0,316,16,Mar-18,19.75,8.03,14.7,0,0,T20,Bowling
RG Aga (Kenya),2008-2013,20,19,48,1,306,15,Mar-24,20.4,6.37,19.2,0,0,T20,Bowling
NM Coulter-Nile (Aus),2013-2015,11,11,41,0,335,15,Apr-31,22.33,8.17,16.4,1,0,T20,Bowling
CH Gayle (WI),2006-2015,45,22,50.1,0,360,15,Feb-15,24,7.17,20,0,0,T20,Bowling
Haseeb Amjad (HK),2014-2015,8,8,28.2,3,195,15,Apr-16,13,6.88,11.3,1,0,T20,Bowling
Mahmudullah (Ban),2007-2015,35,26,69.1,1,479,15,Feb-13,31.93,6.92,27.6,0,0,T20,Bowling
SM Pollock (SA),2005-2008,12,11,40.3,1,309,15,Mar-28,20.6,7.62,16.2,0,0,T20,Bowling
B Regmi (Nepal),2014-2015,11,11,38.1,0,227,15,Apr-16,15.13,5.94,15.2,1,0,T20,Bowling
RP Singh (India),2007-2009,10,9,33,0,225,15,Apr-13,15,6.81,13.2,1,0,T20,Bowling
JP Faulkner (Aus),2012-2014,11,11,38.4,0,294,14,Mar-25,21,7.6,16.5,0,0,T20,Bowling
RA Jadeja (India),2009-2014,22,22,72.4,2,529,14,Mar-48,37.78,7.27,31.1,0,0,T20,Bowling
GJ Maxwell (Aus),2012-2015,25,21,55,0,380,14,Mar-13,27.14,6.9,23.5,0,0,T20,Bowling
Mirwais Ashraf (Afg),2010-2015,23,20,60.2,1,387,14,2-Jun,27.64,6.41,25.8,0,0,T20,Bowling
Mohammad Sami (Pak),2010-2015,7,7,24,0,220,14,Mar-16,15.71,9.16,10.2,0,0,T20,Bowling
KJ Abbott (SA),2013-2015,14,14,46.1,0,367,13,Mar-20,28.23,7.94,21.3,0,0,T20,Bowling
SR Clark (Aus),2006-2007,9,9,36,0,237,13,Apr-20,18.23,6.58,16.6,1,0,T20,Bowling
JK Kamande (Kenya),2007-2010,12,10,34.2,1,212,13,Mar-28,16.3,6.17,15.8,0,0,T20,Bowling
B Kumar (India),2012-2015,13,13,45,0,294,13,3-Sep,22.61,6.53,20.7,0,0,T20,Bowling
Mohammad Asif (Pak),2006-2010,11,11,42.5,1,343,13,Apr-18,26.38,8,19.7,1,0,T20,Bowling
M Muralitharan (SL),2006-2010,12,12,47,0,297,13,Mar-29,22.84,6.31,21.6,0,0,T20,Bowling
A Nehra (India),2009-2011,8,8,31,0,274,13,Mar-19,21.07,8.83,14.3,0,0,T20,Bowling
T Panyangara (Zim),2013-2015,9,9,31.3,1,264,13,Apr-37,20.3,8.38,14.5,1,0,T20,Bowling
YK Pathan (India),2007-2012,22,17,50.5,0,438,13,Feb-22,33.69,8.61,23.4,0,0,T20,Bowling
AM Phangiso (SA),2012-2015,9,9,34,0,276,13,Mar-25,21.23,8.11,15.6,0,0,T20,Bowling
RW Price (Zim),2008-2012,16,16,61.3,4,378,13,2-Jun,29.07,6.14,28.3,0,0,T20,Bowling
SC Williams (Zim),2006-2015,14,13,46,0,325,13,Mar-15,25,7.06,21.2,0,0,T20,Bowling
Al-Amin Hossain (Ban),2013-2014,9,8,29.3,0,218,12,Mar-21,18.16,7.38,14.7,0,0,T20,Bowling
HMRKB Herath (SL),2011-2014,9,9,29.3,2,174,12,5-Mar,14.5,5.89,14.7,0,1,T20,Bowling
JH Kallis (SA),2005-2012,25,19,46,1,333,12,Apr-15,27.75,7.23,23,1,0,T20,Bowling
Karim Sadiq (Afg),2010-2014,23,20,55,0,361,12,Mar-17,30.08,6.56,27.5,0,0,T20,Bowling
AD Mascarenhas (Eng),2007-2009,14,14,42,0,309,12,Mar-18,25.75,7.35,21,0,0,T20,Bowling
JD Nel (Scot),2007-2010,10,9,31,3,169,12,3-Oct,14.08,5.45,15.5,0,0,T20,Bowling
SM Sharif (Scot),2012-2015,14,13,42,0,348,12,Mar-29,29,8.28,21,0,0,T20,Bowling
Sompal Kami (Nepal),2014-2015,11,11,38,1,268,12,Feb-13,22.33,7.05,19,0,0,T20,Bowling
PR Stirling (Ire),2009-2015,30,18,50,1,346,12,Mar-21,28.83,6.92,25,0,0,T20,Bowling
MR Swart (Neth),2012-2015,24,18,50,1,332,12,2-Aug,27.66,6.64,25,0,0,T20,Bowling
RN ten Doeschate (Neth),2008-2010,9,9,34,0,241,12,Mar-23,20.08,7.08,17,0,0,T20,Bowling
J Theron (SA),2010-2012,9,9,32.2,0,261,12,Apr-27,21.75,8.07,16.1,1,0,T20,Bowling
SO Tikolo (Kenya),2007-2013,15,10,28.2,0,168,12,4-Feb,14,5.92,14.1,1,0,T20,Bowling
Zulfiqar Babar (Pak),2013-2014,7,7,26,1,185,12,Mar-23,15.41,7.11,13,0,0,T20,Bowling
Abdur Rehman (Pak),2007-2013,8,8,26,0,192,11,2-Jul,17.45,7.38,14.1,0,0,T20,Bowling
DT Christian (Aus),2010-2014,15,15,35,0,310,11,Mar-27,28.18,8.85,19,0,0,T20,Bowling
Irfan Ahmed (HK),2014-2015,8,8,27,0,190,11,3-Nov,17.27,7.03,14.7,0,0,T20,Bowling
NO Miller (WI),2009-2014,9,9,31.4,0,224,11,Feb-20,20.36,7.07,17.2,0,0,T20,Bowling
A Mishra (India),2010-2014,7,7,26,1,168,11,Mar-26,15.27,6.46,14.1,0,0,T20,Bowling
JDS Neesham (NZ),2012-2015,13,12,31.4,0,242,11,Mar-16,22,7.64,17.2,0,0,T20,Bowling
CO Obuya (Kenya),2007-2013,26,10,30.3,0,202,11,Mar-17,18.36,6.62,16.6,0,0,T20,Bowling
TM Odoyo (Kenya),2007-2013,11,10,36,0,170,11,Mar-17,15.45,4.72,19.6,0,0,T20,Bowling
AD Russell (WI),2011-2015,33,28,56.1,0,538,11,2-Oct,48.9,9.57,30.6,0,0,T20,Bowling
MH Yardy (Eng),2006-2011,14,13,46,0,299,11,Feb-19,27.18,6.5,25,0,0,T20,Bowling
L Balaji (India),2012-2012,5,5,16,0,121,10,Mar-19,12.1,7.56,9.6,0,0,T20,Bowling
RD Berrington (Scot),2008-2015,29,16,32.4,0,247,10,Feb-13,24.7,7.56,19.6,0,0,T20,Bowling
TA Boult (NZ),2013-2014,7,7,26,1,195,10,Mar-20,19.5,7.5,15.6,0,0,T20,Bowling
PC Connell (Ire),2008-2010,9,8,25.3,1,156,10,3-Aug,15.6,6.11,15.3,0,0,T20,Bowling
XJ Doherty (Aus),2012-2013,11,11,38,0,300,10,Mar-20,30,7.89,22.8,0,0,T20,Bowling
MR Gillespie (NZ),2006-2008,11,10,35,3,255,10,4-Jul,25.5,7.28,21,1,0,T20,Bowling
RM Hira (NZ),2012-2013,15,13,42.2,1,337,10,Feb-42,33.7,7.96,25.4,0,0,T20,Bowling
JR Hopes (Aus),2005-2010,12,12,37,0,283,10,Feb-26,28.3,7.64,22.2,0,0,T20,Bowling
KM Jarvis (Zim),2011-2013,9,9,32.1,0,270,10,Mar-15,27,8.39,19.3,0,0,T20,Bowling
