DS Smith (WI),2007-2009,6,6,0,203,61,33.83,161,126.08,0,2,0,22,5,T20,Batting
R Gunasekera (Can),2012-2013,8,8,0,202,65,25.25,188,107.44,0,1,0,23,4,T20,Batting
J Botha (SA),2006-2012,40,20,9,201,34,18.27,165,121.81,0,0,1,15,9,T20,Batting
Shafiqullah (Afg),2010-2015,18,16,4,199,51*,16.58,156,127.56,0,1,2,15,11,T20,Batting
S Vesawkar (Nepal),2014-2015,10,10,0,199,40,19.9,209,95.21,0,0,0,16,3,T20,Batting
BMAJ Mendis (SL),2011-2013,16,12,3,197,43*,21.88,158,124.68,0,0,1,18,5,T20,Batting
AD Poynter (Ire),2012-2015,14,10,1,197,57,21.88,161,122.36,0,1,0,21,7,T20,Batting
JM Bairstow (Eng),2011-2015,19,15,4,195,60*,17.72,181,107.73,0,1,0,16,5,T20,Batting
Fawad Alam (Pak),2007-2010,24,17,6,194,28,17.63,169,114.79,0,0,1,7,7,T20,Batting
AD Russell (WI),2011-2015,33,25,8,194,24*,11.41,159,122.01,0,0,6,16,7,T20,Batting
Asad Shafiq (Pak),2010-2012,10,10,0,192,38,19.2,185,103.78,0,0,0,19,2,T20,Batting
Mukhtar Ahmed (Pak),2015-2015,6,6,0,192,83,32,134,143.28,0,2,0,23,5,T20,Batting
CR Ervine (Zim),2010-2015,12,11,0,190,42,17.27,235,80.85,0,0,0,18,1,T20,Batting
Gulbadin Naib (Afg),2012-2014,13,11,1,189,44,18.9,166,113.85,0,0,0,12,13,T20,Batting
SR Patel (Eng),2011-2013,18,14,2,189,67,15.75,173,109.24,0,1,2,17,5,T20,Batting
IR Bell (Eng),2006-2014,8,8,1,188,60*,26.85,163,115.33,0,1,0,23,2,T20,Batting
CD McMillan (NZ),2005-2007,8,7,1,187,57,31.16,117,159.82,0,1,0,8,14,T20,Batting
BJ Hodge (Aus),2007-2014,15,11,4,183,36,26.14,144,127.08,0,0,0,9,7,T20,Batting
Nazimuddin (Ban),2007-2008,7,7,0,178,81,25.42,158,112.65,0,1,2,13,10,T20,Batting
Sohaib Maqsood (Pak),2013-2015,16,14,2,177,37,14.75,154,114.93,0,0,1,13,6,T20,Batting
