M Prabhakar (India),1984-1996,130,98,21,1858,106,24.12,3083,60.26,2,11,8,ODI,Batting
Q de Kock (SA),2013-2015,50,50,2,1841,135,38.35,2103,87.54,7,5,1,ODI,Batting
OA Shah (Eng),2001-2009,71,66,6,1834,107*,30.56,2331,78.67,1,12,6,ODI,Batting
AM Rahane (India),2011-2015,61,60,2,1820,111,31.37,2380,76.47,2,12,6,ODI,Batting
MW Goodwin (Zim),1998-2000,71,70,3,1818,112*,27.13,2654,68.5,2,8,1,ODI,Batting
Khaled Mashud (Ban),1995-2006,126,110,27,1818,71*,21.9,3315,54.84,0,7,8,ODI,Batting
BA Edgar (NZ),1978-1986,64,64,5,1814,102*,30.74,3685,49.22,1,10,3,ODI,Batting
RA Jadeja (India),2009-2015,121,83,27,1804,87,32.21,2136,84.45,0,10,5,ODI,Batting
DJ Hussey (Aus),2008-2013,69,61,6,1796,111,32.65,1980,90.7,1,14,4,ODI,Batting
MA Atherton (Eng),1990-1998,54,54,3,1791,127,35.11,3054,58.64,2,12,4,ODI,Batting
DA Miller (SA),2010-2015,80,71,20,1791,138*,35.11,1795,99.77,2,8,7,ODI,Batting
IA Healy (Aus),1988-1997,168,120,36,1764,56,21,2104,83.84,0,4,9,ODI,Batting
Sir RJ Hadlee (NZ),1973-1990,115,98,17,1751,79,21.61,2319,75.5,0,4,4,ODI,Batting
EC Joyce (Eng/Ire),2006-2015,56,55,4,1744,116*,34.19,2479,70.35,3,11,4,ODI,Batting
SPD Smith (Aus),2010-2015,64,51,7,1726,105,39.22,1985,86.95,4,8,2,ODI,Batting
Imran Farhat (Pak),2001-2013,58,58,2,1719,107,30.69,2489,69.06,1,13,3,ODI,Batting
CB Wishart (Zim),1996-2005,90,82,8,1719,172*,23.22,2436,70.56,2,5,8,ODI,Batting
SE Marsh (Aus),2008-2015,46,45,2,1712,151,39.81,2212,77.39,3,10,3,ODI,Batting
Rashid Latif (Pak),1992-2003,166,117,29,1709,79,19.42,2237,76.39,0,3,8,ODI,Batting
DA Gunawardene (SL),1998-2006,61,61,1,1708,132,28.46,2389,71.49,1,12,5,ODI,Batting
ND McKenzie (SA),2000-2009,64,55,10,1688,131*,37.51,2432,69.4,2,10,2,ODI,Batting
NC Johnson (Zim),1998-2000,48,48,2,1679,132*,36.5,2389,70.28,4,11,2,ODI,Batting
BA Young (NZ),1990-1999,74,73,5,1668,74,24.52,2733,61.03,0,9,5,ODI,Batting
UDU Chandana (SL),1994-2007,147,111,17,1627,89,17.3,2229,72.99,0,5,8,ODI,Batting
GM Turner (NZ),1973-1983,41,40,6,1598,171*,47,2348,68.05,3,9,1,ODI,Batting
LPC Silva (SL),1999-2011,75,62,7,1587,107*,28.85,2254,70.4,1,13,6,ODI,Batting
SC Williams (WI),1994-1999,57,55,6,1586,105*,32.36,2402,66.02,1,12,6,ODI,Batting
Saleem Elahi (Pak),1995-2004,48,47,4,1579,135,36.72,2214,71.31,4,9,3,ODI,Batting
RL Dias (SL),1979-1987,58,55,5,1573,121,31.46,2315,67.94,2,11,3,ODI,Batting
DR Smith (WI),2004-2015,105,89,5,1560,97,18.57,1683,92.69,0,8,14,ODI,Batting
IK Pathan (India),2004-2012,120,87,21,1544,83,23.39,1941,79.54,0,5,7,ODI,Batting
RN ten Doeschate (Neth),2006-2011,33,32,9,1541,119,67,1757,87.7,5,9,1,ODI,Batting
GJ Maxwell (Aus),2012-2015,55,50,6,1535,102,34.88,1214,126.44,1,12,4,ODI,Batting
DL Houghton (Zim),1983-1997,63,60,2,1530,142,26.37,2155,70.99,1,12,5,ODI,Batting
LRD Mendis (SL),1975-1989,79,74,9,1527,80,23.49,2034,75.07,0,7,4,ODI,Batting
Azhar Mahmood (Pak),1996-2007,143,110,26,1521,67,18.1,1988,76.5,0,3,9,ODI,Batting
CK Kapugedera (SL),2006-2012,92,76,7,1521,95,22.04,2096,72.56,0,8,6,ODI,Batting
RS Morton (WI),2002-2010,56,51,6,1519,110*,33.75,2289,66.36,2,10,7,ODI,Batting
JJ Crowe (NZ),1983-1990,75,71,12,1518,88*,25.72,2456,61.8,0,7,6,ODI,Batting
JM Kemp (Afr/SA),2001-2007,85,66,18,1512,100*,31.5,1819,83.12,1,10,6,ODI,Batting
RD Shah (Kenya),1998-2007,56,55,1,1506,113,27.88,2298,65.53,1,12,5,ODI,Batting
MA Ouma (Kenya),2004-2014,80,77,5,1501,61,20.84,2525,59.44,0,7,6,ODI,Batting
JC Buttler (Eng),2012-2015,61,52,7,1467,129,32.6,1288,113.89,2,7,5,ODI,Batting
HJH Marshall (NZ),2003-2007,66,62,9,1454,101*,27.43,1990,73.06,1,12,3,ODI,Batting
