PJL Dujon (WI),1981-1991,81,115,11,3322,139,31.94,5,16,8,Test,Batting
CL Cairns (NZ),1989-2004,62,104,5,3320,158,33.53,5,22,7,Test,Batting
Ijaz Ahmed (Pak),1987-2001,60,92,4,3315,211,37.67,12,12,7,Test,Batting
FE Woolley (Eng),1909-1934,64,98,7,3283,154,36.07,5,23,13,Test,Batting
KWR Fletcher (Eng),1968-1982,59,96,14,3272,216,39.9,7,19,6,Test,Batting
BJ Haddin (Aus),2008-2015,66,112,13,3266,169,32.98,4,18,8,Test,Batting
ND McKenzie (SA),2000-2009,58,94,7,3253,226,37.39,5,16,9,Test,Batting
CC Hunte (WI),1958-1967,44,78,6,3245,260,45.06,8,13,5,Test,Batting
VL Manjrekar (India),1951-1965,55,92,10,3208,189*,39.12,7,15,11,Test,Batting
NS Sidhu (India),1983-1999,51,78,2,3202,201,42.13,9,15,9,Test,Batting
KS Williamson (NZ),2010-2015,41,75,5,3199,242*,45.7,10,15,6,Test,Batting
HA Gomes (WI),1976-1987,60,91,11,3171,143,39.63,9,13,5,Test,Batting
VT Trumper (Aus),1899-1912,48,89,8,3163,214*,39.04,8,13,7,Test,Batting
SK Warne (Aus),1992-2007,145,199,17,3154,99,17.32,0,12,34,Test,Batting
Sir RJ Hadlee (NZ),1973-1990,86,134,19,3124,151*,27.16,2,15,12,Test,Batting
Tamim Iqbal (Ban),2008-2015,42,80,1,3118,206,39.46,7,18,6,Test,Batting
CD McMillan (NZ),1997-2005,55,91,10,3116,142,38.46,6,19,7,Test,Batting
CC McDonald (Aus),1952-1961,47,83,4,3107,170,39.32,5,17,2,Test,Batting
BF Butcher (WI),1958-1969,44,78,6,3104,209*,43.11,7,16,3,Test,Batting
Mohammad Hafeez (Pak),2003-2015,45,86,8,3102,224,39.76,8,11,5,Test,Batting
SPD Smith (Aus),2010-2015,33,63,8,3095,215,56.27,11,12,3,Test,Batting
WPUJC Vaas (SL),1994-2009,111,162,35,3089,100*,24.32,1,13,12,Test,Batting
